numpy_2_4,stdlib
max,@stdlib/stats/max
maximum,(planned)
may_share_memory,(planned)
mean,@stdlib/stats/mean
median,(planned)
memmap,(planned)
meshgrid,(planned)
mgrid,(planned)
min,@stdlib/stats/min
min_scalar_type,(planned)
minimum,(planned)
mintypecode,N/A
mod,(planned)
modf,(planned)
moveaxis,(planned)
multiply,(planned)
nan,@stdlib/constants/float64/nan
nan_to_num,(planned)
nanargmax,(planned)
nanargmin,(planned)
nancumprod,(planned)
nancumsum,(planned)
nanmax,@stdlib/stats/nanmax
nanmean,@stdlib/stats/nanmean
nanmedian,(planned)
nanmin,@stdlib/stats/nanmin
nanpercentile,(planned)
nanprod,(planned)
nanquantile,(planned)
nanstd,(planned)
nansum,(planned)
nanvar,(planned)
ndarray,@stdlib/ndarray/ctor
ndenumerate,(planned)
ndim,@stdlib/ndarray/ndims
ndindex,(planned)
nditer,(planned)
negative,(planned)
nested_iters,N/A
newaxis,N/A
nextafter,(planned)
nonzero,(planned)
not_equal,(planned)
number,N/A
object_,N/A
ogrid,(planned)
ones,@stdlib/ndarray/ones
ones_like,@stdlib/ndarray/ones-like
outer,(planned)
packbits,(planned)
pad,(planned)
partition,(planned)
percentile,(planned)
permute_dims,(planned)
pi,@stdlib/constants/float64/pi
piecewise,(planned)
place,(planned)
poly,(planned)
poly1d,(planned)
polyadd,(planned)
polyder,(planned)
polydiv,(planned)
polyfit,(planned)
polyint,(planned)
polymul,(planned)
polynomial,(planned)
polysub,(planned)
polyval,(planned)
positive,(planned)
pow,(planned)
power,(planned)
printoptions,N/A
prod,(planned)
promote_types,(planned)
ptp,(planned)
put,(planned)
put_along_axis,(planned)
putmask,(planned)
quantile,(planned)
r_,N/A
rad2deg,(planned)
radians,(planned)
random,@stdlib/random
ravel,@stdlib/ndarray/flatten
ravel_multi_index,(planned)
real,(planned)
real_if_close,(planned)
rec,N/A
recarray,N/A
reciprocal,(planned)
record,N/A
remainder,(planned)
repeat,(planned)
require,(planned)
reshape,(planned)
resize,(planned)
result_type,(planned)
right_shift,(planned)
rint,N/A
roll,@stdlib/blas/ext/circshift
rollaxis,(planned)
roots,(planned)
rot90,@stdlib/ndarray/rot90
round,(planned)
row_stack,@stdlib/ndarray/rowcat
s_,N/A
save,(planned)
savetxt,(planned)
savez,(planned)
savez_compressed,(planned)
sctypeDict,N/A
searchsorted,(planned)
select,(planned)
set_printoptions,N/A
setbufsize,N/A
setdiff1d,(planned)
seterr,N/A
seterrcall,N/A
setxor1d,(planned)
shape,@stdlib/ndarray/shape
shares_memory,(planned)
short,N/A
show_config,N/A
show_runtime,N/A
sign,(planned)
signbit,(planned)
signedinteger,N/A
sin,(planned)
sinc,(planned)
single,N/A
sinh,(planned)
size,(planned)
sort,@stdlib/ndarray/to-sorted
sort_complex,(planned)
spacing,(planned)
split,(planned)
sqrt,(planned)
square,(planned)
squeeze,@stdlib/ndarray/remove-singleton-dimensions
stack,(planned)
std,(planned)
str_,N/A
strings,N/A
subtract,(planned)
sum,@stdlib/blas/ext/sum
swapaxes,(planned)
take,(planned)
take_along_axis,(planned)
tan,(planned)
tanh,(planned)
tensordot,(planned)
test,N/A
testing,N/A
tile,(planned)
timedelta64,N/A
trace,(planned)
transpose,transpose
trapezoid,(planned)
trapz,(planned)
tri,(planned)
tril,(planned)
tril_indices,(planned)
tril_indices_from,(planned)
trim_zeros,(planned)
triu,(planned)
triu_indices,(planned)
triu_indices_from,(planned)
true_divide,(planned)
trunc,(planned)
typecodes,N/A
typename,N/A
typing,N/A
ubyte,N/A
ufunc,N/A
uint,N/A
uint16,@stdlib/ndarray/dtypes
uint32,@stdlib/ndarray/dtypes
uint64,@stdlib/ndarray/dtypes
uint8,@stdlib/ndarray/dtypes
uintc,N/A
uintp,N/A
ulong,N/A
ulonglong,N/A
union1d,(planned)
unique,(planned)
unique_all,(planned)
unique_counts,(planned)
unique_inverse,(planned)
unique_values,(planned)
unpackbits,(planned)
unravel_index,(planned)
unsignedinteger,N/A
unwrap,N/A
ushort,N/A
vander,(planned)
var,(planned)
vdot,(planned)
vecdot,(planned)
vectorize,@stdlib/ndarray/map
void,N/A
vsplit,(planned)
vstack,@stdlib/ndarray/vconcat
where,(planned)
zeros,@stdlib/ndarray/zeros
zeros_like,@stdlib/ndarray/zeros-like
linalg.cholesky,(planned)
linalg.cond,(planned)
linalg.cross,(planned)
linalg.det,(planned)
linalg.diagonal,(planned)
linalg.eig,(planned)
linalg.eigh,(planned)
linalg.eigvals,(planned)
linalg.eigvalsh,(planned)
linalg.inv,(planned)
linalg.linalg,(planned)
linalg.lstsq,(planned)
linalg.matmul,(planned)
linalg.matrix_norm,(planned)
linalg.matrix_power,(planned)
linalg.matrix_rank,(planned)
linalg.matrix_transpose,(planned)
linalg.multi_dot,(planned)
linalg.norm,(planned)
linalg.outer,(planned)
linalg.pinv,(planned)
linalg.qr,(planned)
linalg.slogdet,(planned)
linalg.solve,(planned)
linalg.svd,(planned)
linalg.svdvals,(planned)
linalg.tensordot,(planned)
linalg.tensorinv,(planned)
linalg.tensorsolve,(planned)
linalg.test,(planned)
linalg.trace,(planned)
linalg.vecdot,(planned)
linalg.vector_norm,(planned)
fft,(planned)
fft2,(planned)
fftfreq,(planned)
fftn,(planned)
fftshift,(planned)
hfft,(planned)
ifft,(planned)
ifft2,(planned)
ifftn,(planned)
ifftshift,(planned)
ihfft,(planned)
irfft,(planned)
irfft2,(planned)
irfftn,(planned)
rfft,(planned)
rfft2,(planned)
